aspC 	 SPD_0377
aspC 	 L-asparaginase
aspC 	 asnA
aspC 	 asnS
aspC 	 ldh
SPD_1617 	 SPD_1609
SPD_1617 	 SPD_1607
SPD_1617 	 SPD_1616
SPD_1617 	 SPD_1610
SPD_1617 	 SPD_1614
SPD_0370 	 rnhC
SPD_0370 	 SPD_1854
SPD_0370 	 mutS2
SPD_0370 	 purF
SPD_0370 	 SPD_0369
SPD_0370 	 ezrA
SPD_1384 	 SPD_1638
SPD_1384 	 SPD_1927
SPD_1384 	 SPD_1450
thiD 	 thiM2
thiD 	 tenA
thiD 	 ribD
thiD 	 SPD_0622
thiD 	 thiE-2
thiD 	 thiW
thiD 	 thiE-1
thiD 	 thiM
thiD 	 SPD_1423
cbf1 	 SPD_1779
cbf1 	 SPD_1778
cbf1 	 rsgA
cbf1 	 ksgA
cbf1 	 rpe
pepX 	 pepN
pepX 	 map
SPD_1176 	 SPD_1179
SPD_1176 	 SPD_1178
SPD_1898 	 pgi
SPD_1898 	 SPD_1895
SPD_1898 	 SPD_1900
SPD_1898 	 SPD_1899
SPD_1382 	 rpsB
SPD_1382 	 rplR
SPD_1382 	 rpsE
SPD_1162 	 SPD_0773
SPD_1162 	 SPD_1163
SPD_1162 	 SPD_1489
SPD_1606 	 SPD_1608
SPD_1606 	 SPD_1609
SPD_1606 	 ftsH
SPD_1606 	 SPD_1607
SPD_1606 	 SPD_1610
SPD_2032 	 SPD_2029
SPD_2032 	 rplI
SPD_2032 	 dnaB
SPD_2032 	 dacA
dacA 	 rny
dacA 	 SPD_1391
dacA 	 SPD_0076
dacA 	 glmM
dacA 	 SPD_2032
mecA 	 coiA
mecA 	 pbp2A
mecA 	 ezrA
mecA 	 ply
mecA 	 SPD_1331
mecA 	 SPD_0350
mecA 	 SPD_0465
spr1095 	 metA
SPD_1779 	 ksgA
SPD_1779 	 SPD_0622
SPD_1779 	 SPD_1778
SPD_1779 	 tenA
SPD_1779 	 rsgA
SPD_1779 	 adk
SPD_1779 	 cbf1
SPD_1779 	 rpe
SPD_1511 	 SPD_1510
SPD_1511 	 acpS
SPD_1511 	 aroB
SPD_1511 	 alr
SPD_1900 	 SPD_1898
SPD_1900 	 SPD_1895
SPD_1900 	 SPD_1902
SPD_1900 	 Transposase
SPD_0142 	 SPD_0138
SPD_0142 	 wrbA
SPD_0142 	 SPD_0450
SPD_0142 	 SPD_0603
SPD_0142 	 SPD_0140
SPD_0142 	 slgM
pdxT 	 SPD_1958
pdxT 	 pgm
pdxT 	 prsA
pdxT 	 SPD_1423
pdxT 	 deoB
pdxT 	 guaA
pdxT 	 rpiA
pdxT 	 pdxS
pdxT 	 tkt
pdxT 	 prs2
pdxT 	 Transketolase
htpX 	 SPD_2068
htpX 	 gidB
potD 	 murB
potD 	 potC
potD 	 potH
nrdH 	 SPD_0160
nrdH 	 SPD_0680
nrdH 	 msrAB2
nrdH 	 nrdE
nrdH 	 msrAB1
nrdH 	 nrdF
SPD_1029 	 SPD_1034
SPD_1029 	 ung
SPD_1029 	 SPD_1026
SPD_1029 	 acoA
SPD_0647 	 upp
SPD_0647 	 SPD_0648
SPD_0575 	 SPD_0157
SPD_0575 	 SPD_0158
SPD_0575 	 SPD_0574
SP_0574 	 SP_0243
